index,linkPoster,name,role,time,content,content_img,linkPost,status
1,No link,Người tham gia ẩn danh,Thành viên,4 phút,"Muốn đi mấy điểm homstay hội an chill chill mấy quán cf ven sông đẹp để chụp hình mà ko có ai đi cùng ,ko biết có bạn nữ nào muốn đi cùng ko ,kinh phí a sẽ lo bạn nữ nào cũng muốn đi thì cứ thả tym hoặc cmt anh sẽ nhắn nha.",No picture,https://www.facebook.com/groups/ued.confessions/posts/mu%E1%BB%91n-%C4%91i-m%E1%BA%A5y-%C4%91i%E1%BB%83m-homstay-h%E1%BB%99i-an-chill-chill-m%E1%BA%A5y-qu%C3%A1n-cf-ven-s%C3%B4ng-%C4%91%E1%BA%B9p-%C4%91%E1%BB%83-ch%E1%BB%A5p-h%C3%ACn/2054473335068325/?__cft__[0]=AZXz8vVMEOvPwd_qbEt_THes2eqhWNaSKYjvkD7JjI6UpBIaXWuXsUo_s9awsxQnQtE7KAcA6q1KfSqdgZ9zJUAqPYmlMpVtILSkZwtZhipS7chn0xAb5L36Yh3yHW6D7FQk46eWx3fkqv1i2H8LL50ivcc_4RZWy-f5SoN2VAZXID_BER4QdyTREWyNWvQxDXPFVwBE5eOhJw3e61NllqfBbAX-r8aOYilQQ_8SnPKi2w&__tn__=%2CO%2CP-R,Success
2,No link,Người tham gia ẩn danh,Thành viên,3 giờ,"Tuyển nhân viên quán La Cà cạnh đhsp 
zl : 0905540013
Tháng đầu 18k/g, tháng sau 20k/g
Xoay 2 ca: 16g-21h và 19g-00g 
đc: 02 phạm như xương",No picture,https://www.facebook.com/groups/ued.confessions/posts/tuy%E1%BB%83n-nh%C3%A2n-vi%C3%AAn-qu%C3%A1n-la-c%C3%A0-c%E1%BA%A1nh-%C4%91hsp-zl-0905540013th%C3%A1ng-%C4%91%E1%BA%A7u-18kg-th%C3%A1ng-sau-20kgx/2054373661744959/?__cft__[0]=AZXiwDo3HxVwnlRqusUGpwIv__24SU8T7Zpr4RoeViP_gHY5zRgNvTWeF0N2xl15glTNrTsVyiIQDesfeE70z5pMCCDQqEVeA-k2zeV5z6SCCEGMd2DZPcUSCcJeohceoQIJItYgQjLCGSBRk-zvGmKH1N0fJoOxYt8aoEECPR5FDpuj_vRtwnb7b-9Ks--oF3LXfprH_Bi-NQKZcTm8qnHRHEa4mEEaKfXMHCfNo8wnGw&__tn__=%2CO%2CP-R,Success
3,No link,Người tham gia ẩn danh,Thành viên,11 tháng 11 lúc 19:24,Mấy bạn mầm non ra trường xin việc sao ạ,No picture,https://www.facebook.com/groups/ued.confessions/posts/m%E1%BA%A5y-b%E1%BA%A1n-m%E1%BA%A7m-non-ra-tr%C6%B0%E1%BB%9Dng-xin-vi%E1%BB%87c-sao-%E1%BA%A1/2053141741868151/?__cft__[0]=AZVGFkAEj04FtiVBeCRZpJ8LoAmekoi3X_KI2HSrtYNCiNsjbpR5QGXTcHpHIvw6wclozw1nFuX94AItKVmQyr5zZJWOROmWUW_3kEuPc9DF7r5pIiq7WNMOwj6xtpMjFPQn7TgRG4x6JjbhXrXNanqb21Z3TXkHGZ6vHYB460MRWrmT0BlPIuOHSa-S58FlrSckNcT-QJBODagezUZc23F6ms0N21JlwJRMGj2Y17LiSg&__tn__=%2CO%2CP-R,Success
4,No link,Người tham gia ẩn danh,Thành viên,22 giờ,"Gửi các bạn hay xin đi xin bài :)))
Không thân quen cũng đi xin nguyên chất xám người khác về rồi dựa vô đó làm, đâu ra chất xám sẵn cho các bạn vậy? Nhắn tin hỏi như thể đó là nhiệm vụ của người khác phải cho bạn vậy, còn không cho thì bạn đi nói xấu, nói người ta ích kỉ, không giúp đỡ bạn bè???? Mà là bạn thân cũng không ai làm thế cả, bạn thân lại càng tôn trọng chất xám của nhau hơn á :))
Nói vậy không có nghĩa là bản thân mình không muốn giúp đỡ, nhưng giúp đỡ cũng có giới hạn, không phải kiểu đi xin y nguyên bài rồi copy paste rồi thành bài của mình. Nếu bạn hỏi về cách làm, hoặc bạn nhờ mình kiểm tra giúp, nếu có thời gian mình sẽ giúp, còn không thì bạn phải tự thân tìm hiểu trau dồi, nhắc lại đó không phải là nghĩa vụ của người khác! Những người như vậy chắc là còn chả tìm hiểu, nghiên cứu trước đâu mà ỷ y rồi sẽ có người giúp mình á :))
Biết là ai rồi có lúc cũng cần giúp đỡ từ người khác, tôi cũng vậy, nhưng không đồng nghĩa với việc tôi có thể chia sẻ kiến thức mãi cho bạn biết được, đó phải là điều bạn tự nên tìm hiểu và học hỏi chứ? Đúng không? Và bạn phải biết ơn chứ. Có nhiều người hỏi xong rồi lặng tăm, không một tiếng cảm ơn hay thậm chí thả tim tin nhắn.
Thật sự là khi hỏi người khác về vấn đề gì đó tôi ngại lắm, ngại sợ người khác chê mình kém hiểu biết, sợ họ khó có thể chia sẻ chất xám, công sức đã bỏ ra của họ để mình có thể được tham khảo, mình sợ đơn giản mình tôn trọng công sức cá nhân của họ nên nếu họ giúp thì mình rất biết ơn, nhưng nếu họ không sẵn lòng thì cũng không sao cả, chất xám của họ thì họ có quyền chia sẻ hoặc không. Nhưng có vẻ nhiều người không hiểu điều này quá, các bạn thản nhiên vô tư đi xin y hệt ra mệnh lệnh như là người ta phải cho bạn!
Cuối cùng, bài viết tuy dài nhưng mong các bạn có thể hiểu được nội dung chính của nó, thân gửi các bạn!",No picture,https://www.facebook.com/groups/ued.confessions/posts/g%E1%BB%ADi-c%C3%A1c-b%E1%BA%A1n-hay-xin-%C4%91i-xin-b%C3%A0i-kh%C3%B4ng-th%C3%A2n-quen-c%C5%A9ng-%C4%91i-xin-nguy%C3%AAn-ch%E1%BA%A5t-x%C3%A1m-ng%C6%B0%E1%BB%9Di/2053809741801351/?__cft__[0]=AZXWq5gcXjmqSk9c9NiCWO6WXnD0df4KKe3QlNsDHEHooJe3aKjhepJ4iCMY93D6O0JDeXJfEcpLtGuq-nVJvw9AeeJmpf2YBwqpEkNmme4SUcvmIYS53Mz9maNGYHIuSoC_3H1BtCLx7_ffcvyTGHfcQkiLJ-IzEcJAGikJIvBxb9JAyy_v_2fhvS1A0fpP6K5NhBlsMy9UpsiNRl7054XN8q3xxY-7ZsHFAU9VuBERvw&__tn__=%2CO%2CP-R,Success
5,No link,Người tham gia ẩn danh,Thành viên,6 giờ,sáng nay trên đường từ nhà xe tới nhà đa năng em làm rớt thẻ xe có ai nhặt lại đc k ạ cho em xin với ạ,No picture,https://www.facebook.com/groups/ued.confessions/posts/s%C3%A1ng-nay-tr%C3%AAn-%C4%91%C6%B0%E1%BB%9Dng-t%E1%BB%AB-nh%C3%A0-xe-t%E1%BB%9Bi-nh%C3%A0-%C4%91a-n%C4%83ng-em-l%C3%A0m-r%E1%BB%9Bt-th%E1%BA%BB-xe-c%C3%B3-ai-nh%E1%BA%B7t-l%E1%BA%A1i-%C4%91/2054303968418595/?__cft__[0]=AZW1yEsqITN8hYSuNKJzOX2ErVNAisWQQcB9CO1K8CThJ4IdRRi8dDGOkQapjLOwHPpQNrAGDl5hMXtmumH0vl-Ku-Oo1kDq1tKmsnq1T4KRON6E61FHajwIWXas2dYtMkBFT2wM3W6sd8Dk4h8EBLy-stttnpN0wNGycbgH94-fKTb7vFA-qNBayW4lLdaXMk2nt-EDmUH_vnl6X3UfECqTZEAB15-dqsQIE8OD6_Oz-g&__tn__=%2CO%2CP-R,Success
6,No link,Người tham gia ẩn danh,Thành viên,11 tháng 11 lúc 09:54,"MN !!!
Review về ngàng quan hệ công chúng để năm sau e chọn ngàng đc ko ạ:((",No picture,https://www.facebook.com/groups/ued.confessions/posts/mn-review-v%E1%BB%81-ng%C3%A0ng-quan-h%E1%BB%87-c%C3%B4ng-ch%C3%BAng-%C4%91%E1%BB%83-n%C4%83m-sau-e-ch%E1%BB%8Dn-ng%C3%A0ng-%C4%91c-ko-%E1%BA%A1/2052858685229790/?__cft__[0]=AZVXK-KQjhnh4Ggx8SQ8UwXoufgPLlMFE4ZOYVrp4Ak7ogT9dYRZd6A4fOTchRM2nqAHjfWxbSYxLjpW6QhWpqxMgk0jcYWnBoRe-mUfPCLRsm3i88sci0OwJLAvPKDbfkYvFwFAZAf8jZ9P2lqmeACFLqAo63qMVVh7QDxYOVDvpP5iTzZniN6bROwVT6tiBS8IUEdxDgO1O9-YyYaI5AmEq1xgfhjeB4S-_akLTaQGYA&__tn__=%2CO%2CP-R,Success
7,No link,Người tham gia ẩn danh,Thành viên,14 giờ,"Mọi người ơi có ai từng mua mĩ phẩm ở Bồ công anh gần trường mình không cho em xin ít review 
Hoặc có tiệm Mỹ phẩm nào uy tín gần trường mình không ạ",No picture,https://www.facebook.com/groups/ued.confessions/posts/m%E1%BB%8Di-ng%C6%B0%E1%BB%9Di-%C6%A1i-c%C3%B3-ai-t%E1%BB%ABng-mua-m%C4%A9-ph%E1%BA%A9m-%E1%BB%9F-b%E1%BB%93-c%C3%B4ng-anh-g%E1%BA%A7n-tr%C6%B0%E1%BB%9Dng-m%C3%ACnh-kh%C3%B4ng-cho-em-x/2054094865106172/?__cft__[0]=AZWnUdJkXVw5e5ssCh3zgTPQgOLR-4dpcLS6Nyl7cFRUnHeY1-N3WQpEW0CpsZ--OY9sKjirS7qW7ksys-EqSahAg6sJbmP1ss8ii5w711odIlB38aVtEb1qoilMHZAmSrL23uFvzMo4SjAeLcAC9InKklOaFC2pMBEiDkzl7QvEBquaGWKyYzGNPHRFAKULR8Bn5pQcBfjhPFeSw64JTUwouG8tYQ5_6mzjga4YzhAw-g&__tn__=%2CO%2CP-R,Success
8,No link,Người tham gia ẩn danh,Thành viên,20 giờ,b e đc một bạn khác thích tuy b e k thích b đó nhưng b đó tặng quà vẫn nhận thì có sao k nhỉi !!!!,No picture,https://www.facebook.com/groups/ued.confessions/posts/b-e-%C4%91c-m%E1%BB%99t-b%E1%BA%A1n-kh%C3%A1c-th%C3%ADch-tuy-b-e-k-th%C3%ADch-b-%C4%91%C3%B3-nh%C6%B0ng-b-%C4%91%C3%B3-t%E1%BA%B7ng-qu%C3%A0-v%E1%BA%ABn-nh%E1%BA%ADn-th%C3%AC-/2053881368460855/?__cft__[0]=AZUkQCrzi0BDYTHccojhFiMc5ZMJlFykjUuK6TsXfEN1knZmWJcKDa1XuGo7GF8dqJQ2IqEzHbDaaMl9N4gHRJm24dLNmyyK8DSjbaGk939ba-cW4tibryR10zWWFZ21WwaOEv6dzE5xS3Rgs_xCw87JPGVjGVTYjkataDK7b37SNHtJjqe74EvHeUrWyCLX-KlShCPoajnBAnc8MYg9fkFac3gcBK2kmMXduSWFb9gvGw&__tn__=%2CO%2CP-R,Success
9,No link,Người tham gia ẩn danh,Thành viên,14 giờ,Mình mong đợi vào tiết mục ngáo ngơ vậy mà làm mình thất vọng quá :(((,No picture,https://www.facebook.com/groups/ued.confessions/posts/m%C3%ACnh-mong-%C4%91%E1%BB%A3i-v%C3%A0o-ti%E1%BA%BFt-m%E1%BB%A5c-ng%C3%A1o-ng%C6%A1-v%E1%BA%ADy-m%C3%A0-l%C3%A0m-m%C3%ACnh-th%E1%BA%A5t-v%E1%BB%8Dng-qu%C3%A1-/2054103815105277/?__cft__[0]=AZXLLY651snaNHDbOIjV9FaGBBMcRAlPzNCBNqOuxAQss1HxL4ekN46TVtFp4iovlBw6Uh-2GPEKxfd5vUsiapv3QHUgGBJavJWj_YlDivcEJX_BDLiaJgOLpLZNrQTGupAUb_ploKuN5RXGA2G_JPI4a2cBmWe--2bHk5IKlnaJQEiZLsDlDt-z8oGKDA54dpckJ48et0aAjyfBE_CnfGLBJAOXyVV-bSsIqyeVLL6_dg&__tn__=%2CO%2CP-R,Success
10,No link,Người tham gia ẩn danh,Thành viên,15 giờ,Cho mình xin in4 bạn Khánh ngành Địa lý học khoá K24 được không ạ... Thích bạn ấy mà không biết bạn ấy có ny chưa,No picture,https://www.facebook.com/groups/ued.confessions/posts/cho-m%C3%ACnh-xin-in4-b%E1%BA%A1n-kh%C3%A1nh-ng%C3%A0nh-%C4%91%E1%BB%8Ba-l%C3%BD-h%E1%BB%8Dc-kho%C3%A1-k24-%C4%91%C6%B0%E1%BB%A3c-kh%C3%B4ng-%E1%BA%A1-th%C3%ADch-b%E1%BA%A1n-%E1%BA%A5y-m/2054064595109199/?__cft__[0]=AZW2NEV3jHungZ_Xyjek4PXRx56rYHG9M8_NrTlh4sYidqqzvZ6HfPgGB7tdUuEcdsaztG9V8M252zmOQ72CReB2f9wcM05h7DQCYr45drXN7GFuvCPcwSC-fXrIT1aohKWEbFpY-HVfmqxbTAk95UjneVA6f08LBz2a9fN-mERZA4IzNSZlHKFy-EDhH_LqOkBDNLYH7El-_xHWirqp1GIxjM49noD28z0J9aFYe3rUCg&__tn__=%2CO%2CP-R,Success
